,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
64,pedestrian,3941.0,SWLSANDBOX1,2019-04-25T00:00:00-05:00,2019-04-25,2019,04,25,streetscape
65,pedestrian,2980.0,SWLSANDBOX1,2019-04-26T00:00:00-05:00,2019-04-26,2019,04,26,streetscape
66,pedestrian,1.0,SWLSANDBOX1,2019-04-27T00:00:00-05:00,2019-04-27,2019,04,27,streetscape
67,pedestrian,1656.0,SWLSANDBOX1,2019-04-28T00:00:00-05:00,2019-04-28,2019,04,28,streetscape
68,pedestrian,652.0,SWLSANDBOX1,2019-04-29T00:00:00-05:00,2019-04-29,2019,04,29,streetscape
69,pedestrian,416.0,SWLSANDBOX1,2019-04-30T00:00:00-05:00,2019-04-30,2019,04,30,streetscape
70,pedestrian,579.0,SWLSANDBOX1,2019-05-01T00:00:00-05:00,2019-05-01,2019,05,01,streetscape
71,pedestrian,818.0,SWLSANDBOX1,2019-05-02T00:00:00-05:00,2019-05-02,2019,05,02,streetscape
72,pedestrian,342.0,SWLSANDBOX1,2019-05-03T00:00:00-05:00,2019-05-03,2019,05,03,streetscape
73,pedestrian,128.0,SWLSANDBOX1,2019-05-04T00:00:00-05:00,2019-05-04,2019,05,04,streetscape
74,pedestrian,1760.0,SWLSANDBOX1,2019-05-05T00:00:00-05:00,2019-05-05,2019,05,05,streetscape
75,pedestrian,451.0,SWLSANDBOX1,2019-05-06T00:00:00-05:00,2019-05-06,2019,05,06,streetscape
76,pedestrian,866.0,SWLSANDBOX1,2019-05-07T00:00:00-05:00,2019-05-07,2019,05,07,streetscape
77,pedestrian,1818.0,SWLSANDBOX1,2019-05-08T00:00:00-05:00,2019-05-08,2019,05,08,streetscape
78,pedestrian,1386.0,SWLSANDBOX1,2019-05-09T00:00:00-05:00,2019-05-09,2019,05,09,streetscape
79,pedestrian,2496.0,SWLSANDBOX1,2019-05-10T00:00:00-05:00,2019-05-10,2019,05,10,streetscape
80,pedestrian,3354.0,SWLSANDBOX1,2019-05-11T00:00:00-05:00,2019-05-11,2019,05,11,streetscape
81,pedestrian,939.0,SWLSANDBOX1,2019-05-12T00:00:00-05:00,2019-05-12,2019,05,12,streetscape
82,pedestrian,573.0,SWLSANDBOX1,2019-05-13T00:00:00-05:00,2019-05-13,2019,05,13,streetscape
83,pedestrian,1329.0,SWLSANDBOX1,2019-05-14T00:00:00-05:00,2019-05-14,2019,05,14,streetscape
84,pedestrian,2373.0,SWLSANDBOX1,2019-05-15T00:00:00-05:00,2019-05-15,2019,05,15,streetscape
85,pedestrian,2976.0,SWLSANDBOX1,2019-05-16T00:00:00-05:00,2019-05-16,2019,05,16,streetscape
86,pedestrian,1935.0,SWLSANDBOX1,2019-05-17T00:00:00-05:00,2019-05-17,2019,05,17,streetscape
87,pedestrian,111.0,SWLSANDBOX1,2019-05-18T00:00:00-05:00,2019-05-18,2019,05,18,streetscape
88,pedestrian,130.0,SWLSANDBOX1,2019-05-19T00:00:00-05:00,2019-05-19,2019,05,19,streetscape
89,pedestrian,1196.0,SWLSANDBOX1,2019-05-20T00:00:00-05:00,2019-05-20,2019,05,20,streetscape
90,pedestrian,611.0,SWLSANDBOX1,2019-05-21T00:00:00-05:00,2019-05-21,2019,05,21,streetscape
