mean_dwell_time,node.pct100,node.pct25,node.pct50,node.pct75,node.serialno,node.time,date,year,month,day,location
19.11,940.16,3.68,8.31,18.78,SWLSANDBOX1,2019-05-14T00:00:00-05:00,2019-05-14,2019,05,14,streetscape
13.88,432.54,2.59,5.25,11.98,SWLSANDBOX1,2019-05-15T00:00:00-05:00,2019-05-15,2019,05,15,streetscape
12.44,339.23,2.54,5.14,11.95,SWLSANDBOX1,2019-05-16T00:00:00-05:00,2019-05-16,2019,05,16,streetscape
11.45,725.99,2.12,4.71,10.45,SWLSANDBOX1,2019-05-17T00:00:00-05:00,2019-05-17,2019,05,17,streetscape
25.56,301.31,7.25,11.5,27.65,SWLSANDBOX1,2019-05-18T00:00:00-05:00,2019-05-18,2019,05,18,streetscape
59.87,978.24,8.81,19.24,49.5,SWLSANDBOX1,2019-05-19T00:00:00-05:00,2019-05-19,2019,05,19,streetscape
9.06,254.52,2.6,4.71,8.92,SWLSANDBOX1,2019-05-20T00:00:00-05:00,2019-05-20,2019,05,20,streetscape
8.77,111.38,3.15,6.25,9.41,SWLSANDBOX1,2019-05-21T00:00:00-05:00,2019-05-21,2019,05,21,streetscape
9.8,188.03,2.64,5.71,10.39,SWLSANDBOX1,2019-05-22T00:00:00-05:00,2019-05-22,2019,05,22,streetscape
26.02,166.63,3.1,7.33,32.29,SWLSANDBOX1,2019-05-23T00:00:00-05:00,2019-05-23,2019,05,23,streetscape
58.95,840.18,3.61,6.74,48.41,SWLSANDBOX1,2019-05-24T00:00:00-05:00,2019-05-24,2019,05,24,streetscape
2.99,4.65,2.06,3.13,4.18,SWLSANDBOX1,2019-05-25T00:00:00-05:00,2019-05-25,2019,05,25,streetscape
3.91,9.86,1.57,4.12,5.23,SWLSANDBOX1,2019-05-26T00:00:00-05:00,2019-05-26,2019,05,26,streetscape
13.45,60.43,3.61,6.71,16.65,SWLSANDBOX1,2019-05-27T00:00:00-05:00,2019-05-27,2019,05,27,streetscape
11.43,339.54,2.1,4.67,11.44,SWLSANDBOX1,2019-05-28T00:00:00-05:00,2019-05-28,2019,05,28,streetscape
21.17,332.39,2.64,5.23,14.0,SWLSANDBOX1,2019-05-29T00:00:00-05:00,2019-05-29,2019,05,29,streetscape
51.72,769.99,4.65,11.43,63.91,SWLSANDBOX1,2019-05-30T00:00:00-05:00,2019-05-30,2019,05,30,streetscape
19.19,483.93,3.12,6.75,13.03,SWLSANDBOX1,2019-05-31T00:00:00-05:00,2019-05-31,2019,05,31,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-06-01T00:00:00-05:00,2019-06-01,2019,06,01,streetscape
8.65,72.87,1.56,3.58,6.76,SWLSANDBOX1,2019-06-02T00:00:00-05:00,2019-06-02,2019,06,02,streetscape
15.6,1058.94,2.11,4.71,12.94,SWLSANDBOX1,2019-06-03T00:00:00-05:00,2019-06-03,2019,06,03,streetscape
12.44,471.42,2.06,4.12,9.89,SWLSANDBOX1,2019-06-04T00:00:00-05:00,2019-06-04,2019,06,04,streetscape
13.44,5835.52,2.06,4.12,9.88,SWLSANDBOX1,2019-06-05T00:00:00-05:00,2019-06-05,2019,06,05,streetscape
12.96,884.27,2.06,3.67,10.4,SWLSANDBOX1,2019-06-06T00:00:00-05:00,2019-06-06,2019,06,06,streetscape
12.52,421.51,2.07,4.17,10.93,SWLSANDBOX1,2019-06-07T00:00:00-05:00,2019-06-07,2019,06,07,streetscape
8.43,215.56,1.59,3.6,7.78,SWLSANDBOX1,2019-06-08T00:00:00-05:00,2019-06-08,2019,06,08,streetscape
13.1,433.06,2.11,4.23,9.35,SWLSANDBOX1,2019-06-09T00:00:00-05:00,2019-06-09,2019,06,09,streetscape
26.35,12763.29,2.1,4.71,11.46,SWLSANDBOX1,2019-06-10T00:00:00-05:00,2019-06-10,2019,06,10,streetscape
23.92,5013.59,2.1,5.25,14.03,SWLSANDBOX1,2019-06-11T00:00:00-05:00,2019-06-11,2019,06,11,streetscape
15.9,335.36,2.63,5.78,12.94,SWLSANDBOX1,2019-06-12T00:00:00-05:00,2019-06-12,2019,06,12,streetscape
16.07,358.28,2.6,5.21,14.09,SWLSANDBOX1,2019-06-13T00:00:00-05:00,2019-06-13,2019,06,13,streetscape
14.03,184.0,3.13,6.79,15.08,SWLSANDBOX1,2019-06-14T00:00:00-05:00,2019-06-14,2019,06,14,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-06-15T00:00:00-05:00,2019-06-15,2019,06,15,streetscape
3.69,12.99,1.57,2.12,5.74,SWLSANDBOX1,2019-06-16T00:00:00-05:00,2019-06-16,2019,06,16,streetscape
7.95,139.42,2.11,3.67,7.32,SWLSANDBOX1,2019-06-17T00:00:00-05:00,2019-06-17,2019,06,17,streetscape
6.7,181.08,1.58,3.09,6.18,SWLSANDBOX1,2019-06-18T00:00:00-05:00,2019-06-18,2019,06,18,streetscape
9.77,171.96,2.1,4.63,9.95,SWLSANDBOX1,2019-06-19T00:00:00-05:00,2019-06-19,2019,06,19,streetscape
14.26,318.9,2.6,5.72,14.09,SWLSANDBOX1,2019-06-20T00:00:00-05:00,2019-06-20,2019,06,20,streetscape
24.95,24539.01,2.11,4.72,12.0,SWLSANDBOX1,2019-06-21T00:00:00-05:00,2019-06-21,2019,06,21,streetscape
11.48,434.42,2.09,4.65,10.91,SWLSANDBOX1,2019-06-22T00:00:00-05:00,2019-06-22,2019,06,22,streetscape
10.05,395.11,2.11,4.64,9.94,SWLSANDBOX1,2019-06-23T00:00:00-05:00,2019-06-23,2019,06,23,streetscape
16.49,1399.19,2.13,5.2,13.55,SWLSANDBOX1,2019-06-24T00:00:00-05:00,2019-06-24,2019,06,24,streetscape
25.31,2078.16,2.65,6.7,18.19,SWLSANDBOX1,2019-06-25T00:00:00-05:00,2019-06-25,2019,06,25,streetscape
18.03,945.79,2.61,6.19,15.05,SWLSANDBOX1,2019-06-26T00:00:00-05:00,2019-06-26,2019,06,26,streetscape
21.19,949.68,2.61,5.77,16.7,SWLSANDBOX1,2019-06-27T00:00:00-05:00,2019-06-27,2019,06,27,streetscape
24.13,1759.69,3.1,6.75,17.68,SWLSANDBOX1,2019-06-28T00:00:00-05:00,2019-06-28,2019,06,28,streetscape
21.65,2954.29,3.12,7.21,19.72,SWLSANDBOX1,2019-06-29T00:00:00-05:00,2019-06-29,2019,06,29,streetscape
18.56,1180.36,2.64,6.23,15.64,SWLSANDBOX1,2019-06-30T00:00:00-05:00,2019-06-30,2019,06,30,streetscape
9.21,50.45,3.12,5.22,12.0,SWLSANDBOX1,2019-07-01T00:00:00-05:00,2019-07-01,2019,07,01,streetscape
6.48,38.52,2.1,4.18,8.29,SWLSANDBOX1,2019-07-02T00:00:00-05:00,2019-07-02,2019,07,02,streetscape
20.7,649.94,2.58,5.77,16.21,SWLSANDBOX1,2019-07-03T00:00:00-05:00,2019-07-03,2019,07,03,streetscape
14.78,211.57,2.62,5.79,14.09,SWLSANDBOX1,2019-07-04T00:00:00-05:00,2019-07-04,2019,07,04,streetscape
11.2,211.93,2.59,4.18,6.74,SWLSANDBOX1,2019-07-05T00:00:00-05:00,2019-07-05,2019,07,05,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-07-06T00:00:00-05:00,2019-07-06,2019,07,06,streetscape
16.4,747.15,2.62,5.74,13.97,SWLSANDBOX1,2019-07-07T00:00:00-05:00,2019-07-07,2019,07,07,streetscape
22.31,745.27,3.11,6.73,19.24,SWLSANDBOX1,2019-07-08T00:00:00-05:00,2019-07-08,2019,07,08,streetscape
27.72,1204.97,2.59,5.73,15.56,SWLSANDBOX1,2019-07-09T00:00:00-05:00,2019-07-09,2019,07,09,streetscape
26.12,1111.45,3.13,7.31,20.34,SWLSANDBOX1,2019-07-10T00:00:00-05:00,2019-07-10,2019,07,10,streetscape
23.64,883.17,3.12,7.34,19.28,SWLSANDBOX1,2019-07-11T00:00:00-05:00,2019-07-11,2019,07,11,streetscape
11.35,327.22,2.6,4.71,10.44,SWLSANDBOX1,2019-07-12T00:00:00-05:00,2019-07-12,2019,07,12,streetscape
9.09,72.9,2.61,4.69,7.82,SWLSANDBOX1,2019-07-13T00:00:00-05:00,2019-07-13,2019,07,13,streetscape
12.76,646.55,2.6,5.22,11.47,SWLSANDBOX1,2019-07-14T00:00:00-05:00,2019-07-14,2019,07,14,streetscape
21.56,445.72,2.64,6.76,18.27,SWLSANDBOX1,2019-07-15T00:00:00-05:00,2019-07-15,2019,07,15,streetscape
28.85,932.43,2.63,6.72,18.78,SWLSANDBOX1,2019-07-16T00:00:00-05:00,2019-07-16,2019,07,16,streetscape
30.94,2737.27,3.61,7.86,22.84,SWLSANDBOX1,2019-07-17T00:00:00-05:00,2019-07-17,2019,07,17,streetscape
22.45,2211.0,3.09,6.69,16.16,SWLSANDBOX1,2019-07-18T00:00:00-05:00,2019-07-18,2019,07,18,streetscape
14.94,302.62,2.63,5.74,14.11,SWLSANDBOX1,2019-07-19T00:00:00-05:00,2019-07-19,2019,07,19,streetscape
22.75,472.61,2.62,6.28,14.05,SWLSANDBOX1,2019-07-20T00:00:00-05:00,2019-07-20,2019,07,20,streetscape
16.08,423.61,2.63,6.27,15.06,SWLSANDBOX1,2019-07-21T00:00:00-05:00,2019-07-21,2019,07,21,streetscape
20.39,1413.7,2.61,5.76,15.61,SWLSANDBOX1,2019-07-22T00:00:00-05:00,2019-07-22,2019,07,22,streetscape
20.3,468.09,2.62,5.78,16.19,SWLSANDBOX1,2019-07-23T00:00:00-05:00,2019-07-23,2019,07,23,streetscape
24.57,1123.08,3.13,7.27,19.8,SWLSANDBOX1,2019-07-24T00:00:00-05:00,2019-07-24,2019,07,24,streetscape
19.51,663.55,3.09,7.21,17.67,SWLSANDBOX1,2019-07-25T00:00:00-05:00,2019-07-25,2019,07,25,streetscape
20.6,825.17,3.03,6.27,15.51,SWLSANDBOX1,2019-07-26T00:00:00-05:00,2019-07-26,2019,07,26,streetscape
5.22,10.92,3.64,4.68,5.27,SWLSANDBOX1,2019-07-27T00:00:00-05:00,2019-07-27,2019,07,27,streetscape
22.93,887.23,3.09,6.83,18.7,SWLSANDBOX1,2019-07-28T00:00:00-05:00,2019-07-28,2019,07,28,streetscape
30.23,776.85,3.64,8.87,24.44,SWLSANDBOX1,2019-07-29T00:00:00-05:00,2019-07-29,2019,07,29,streetscape
24.1,654.15,3.16,7.28,20.86,SWLSANDBOX1,2019-07-30T00:00:00-05:00,2019-07-30,2019,07,30,streetscape
